observation_date,MEXPROMANMISMEI
2008-06-01,90.970079999999996
2008-07-01,88.874440000000007
2008-08-01,89.351969999999994
2008-09-01,89.531300000000002
2008-10-01,88.859290000000001
2008-11-01,87.033999999999978
2008-12-01,84.870380000000011
2009-01-01,78.658839999999998
2009-02-01,78.605149999999995
2009-03-01,77.631209999999996
2009-04-01,78.200590000000005
2009-05-01,76.411640000000006
2009-06-01,76.929349999999999
2009-07-01,79.870640000000023
2009-08-01,80.026709999999994
2009-09-01,81.599620000000002
2009-10-01,83.197140000000005
2009-11-01,86.369810000000001
2009-12-01,85.742069999999998
2010-01-01,82.763180000000006
2010-02-01,84.456559999999996
2010-03-01,85.629099999999994
2010-04-01,86.119659999999996
2010-05-01,86.742750000000001
2010-06-01,86.856969999999990
2010-07-01,86.322680000000005
2010-08-01,87.739970000000000
2010-09-01,86.724280000000022
2010-10-01,86.330489999999998
2010-11-01,87.544519999999977
2010-12-01,87.694530000000000
2011-01-01,87.273609999999991
2011-02-01,87.916340000000005
2011-03-01,88.668949999999995
2011-04-01,87.534250000000000
2011-05-01,88.748890000000003
2011-06-01,88.595619999999997
2011-07-01,89.205559999999977
2011-08-01,89.164730000000006
2011-09-01,89.665309999999991
2011-10-01,90.143619999999999
2011-11-01,91.562259999999995
2011-12-01,91.923479999999998
2012-01-01,93.443410000000000
2012-02-01,93.193659999999994
2012-03-01,93.343140000000005
2012-04-01,93.766379999999998
2012-05-01,93.120990000000006
2012-06-01,94.186909999999997
2012-07-01,94.057370000000006
2012-08-01,92.817089999999993
2012-09-01,94.384770000000003
2012-10-01,91.715909999999994
2012-11-01,93.034610000000001
2012-12-01,93.783140000000003
2013-01-01,92.471530000000001
2013-02-01,93.254980000000003
2013-03-01,92.504779999999997
2013-04-01,92.206879999999998
2013-05-01,93.417069999999995
2013-06-01,93.046589999999995
2013-07-01,93.160769999999999
2013-08-01,93.744299999999996
2013-09-01,92.648409999999998
2013-10-01,93.578029999999998
2013-11-01,93.290040000000005
2013-12-01,92.942279999999997
2014-01-01,94.415859999999995
2014-02-01,93.985830000000007
2014-03-01,96.125820000000004
2014-04-01,96.759309999999999
2014-05-01,97.182490000000001
2014-06-01,97.264650000000003
2014-07-01,97.732740000000007
2014-08-01,95.733429999999998
2014-09-01,96.808189999999996
2014-10-01,97.916550000000001
2014-11-01,98.434629999999999
2014-12-01,97.886700000000005
2015-01-01,97.924629999999993
2015-02-01,99.404340000000005
2015-03-01,98.639579999999995
2015-04-01,99.728129999999993
2015-05-01,99.199960000000004
2015-06-01,99.617940000000004
2015-07-01,99.645499999999998
2015-08-01,100.128500000000003
2015-09-01,101.876800000000003
2015-10-01,102.030299999999997
2015-11-01,100.772800000000004
2015-12-01,101.484800000000007
2016-01-01,100.895700000000005
2016-02-01,100.712900000000005
2016-03-01,99.896659999999997
2016-04-01,99.499880000000005
2016-05-01,99.997280000000003
2016-06-01,100.356399999999994
2016-07-01,100.469099999999997
2016-08-01,100.952299999999994
2016-09-01,100.592900000000000
2016-10-01,101.229699999999994
2016-11-01,102.098799999999997
2016-12-01,103.123199999999997
2017-01-01,104.166600000000003
2017-02-01,103.790800000000004
2017-03-01,104.023300000000006
2017-04-01,103.532799999999995
2017-05-01,103.561700000000002
2017-06-01,103.129700000000000
2017-07-01,103.184299999999993
